16:46:00:287[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Node -1 disconnected.
16:46:00:289[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
16:46:00:289[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
16:46:01:497[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Node -1 disconnected.
16:46:01:498[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
16:46:01:498[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
16:46:02:418[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Node -1 disconnected.
16:46:02:418[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
16:46:02:418[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Bootstrap broker 127.0.0.1:9092 (id: -1 rack: null) disconnected
16:46:03:555[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Node -1 disconnected.
16:46:03:555[org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-fintech-group-1, groupId=fintech-group] Connection to node -1 (/127.0.0.1:9092) could not be established. Broker may not be available.
